songplays_id,track_id,track_name,artists,track_duration,track_is_explicit,track_popularity,track_played_at,album_id,album_name,album_release_year,album_type,artist_name,artist_name_others,artist_id,artist_id_others,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,artist_popularity,artist_followers,artist_genre,artist_genre_others
1,7fRIo7WyDxXn3r233GCcdL,Jimikki Ponnu,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'name': 'Anirudh Ravichander', 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/00sCATpEvwH48ays7PlQFU'}, 'href': 'https://api.spotify.com/v1/artists/00sCATpEvwH48ays7PlQFU', 'id': '00sCATpEvwH48ays7PlQFU', 'name': 'Jonita Gandhi', 'type': 'artist', 'uri': 'spotify:artist:00sCATpEvwH48ays7PlQFU'}]",3.734916666666667,False,73,2023-02-11 15:10:38,0v5sodl4XQptOtB7iD9SNy,Varisu,2022,album,Anirudh Ravichander,Jonita Gandhi,4zCH9qm4R2DADamUHMCa6O,00sCATpEvwH48ays7PlQFU,0.751,0.826,5,-7.805,0,0.205,0.588,0.0125,0.104,0.848,85,16339229,desi hip hop,"filmi, tamil hip hop"
32,0jvNc73pMCkyHTchaQu6NV,Surviva (feat. Yogi B & Mali),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'name': 'Anirudh Ravichander', 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/614RN5ndeqpLlqg1yDbjtm'}, 'href': 'https://api.spotify.com/v1/artists/614RN5ndeqpLlqg1yDbjtm', 'id': '614RN5ndeqpLlqg1yDbjtm', 'name': 'Yogi B', 'type': 'artist', 'uri': 'spotify:artist:614RN5ndeqpLlqg1yDbjtm'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6l1lQ5WaTFT05RImOssYKg'}, 'href': 'https://api.spotify.com/v1/artists/6l1lQ5WaTFT05RImOssYKg', 'id': '6l1lQ5WaTFT05RImOssYKg', 'name': 'MALIII', 'type': 'artist', 'uri': 'spotify:artist:6l1lQ5WaTFT05RImOssYKg'}]",3.7004333333333332,False,53,2022-11-25 13:38:31,6zXvWxQ8vSbI44dQdPp4P0,Vivegam (Original Motion Picture Soundtrack),2017,album,Anirudh Ravichander,"Yogi B, MALIII",4zCH9qm4R2DADamUHMCa6O,"614RN5ndeqpLlqg1yDbjtm, 6l1lQ5WaTFT05RImOssYKg",0.608,0.919,9,-7.203,0,0.0758,0.137,0.000276,0.243,0.728,85,16339229,desi hip hop,"filmi, tamil hip hop"
35,1LFTKTSfPQRM3a8mOvNtnE,Ethir Neechal,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'name': 'Anirudh Ravichander', 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7uIbLdzzSEqnX0Pkrb56cR'}, 'href': 'https://api.spotify.com/v1/artists/7uIbLdzzSEqnX0Pkrb56cR', 'id': '7uIbLdzzSEqnX0Pkrb56cR', 'name': 'Yo Yo Honey Singh', 'type': 'artist', 'uri': 'spotify:artist:7uIbLdzzSEqnX0Pkrb56cR'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7zFBW2JxM4bgTTKxCRcS8Q'}, 'href': 'https://api.spotify.com/v1/artists/7zFBW2JxM4bgTTKxCRcS8Q', 'id': '7zFBW2JxM4bgTTKxCRcS8Q', 'name': 'Hiphop Tamizha', 'type': 'artist', 'uri': 'spotify:artist:7zFBW2JxM4bgTTKxCRcS8Q'}]",4.512,False,57,2022-11-25 13:22:39,3xTQmYK4S7vj9mv3zcJYWg,Ethir Neechal (Original Motion Picture Soundtrack),2012,album,Anirudh Ravichander,"Yo Yo Honey Singh, Hiphop Tamizha",4zCH9qm4R2DADamUHMCa6O,"7uIbLdzzSEqnX0Pkrb56cR, 7zFBW2JxM4bgTTKxCRcS8Q",0.752,0.97,5,-4.167,1,0.0943,0.0556,1.21e-06,0.0999,0.537,85,16339229,desi hip hop,"filmi, tamil hip hop"
36,00yTVQE3eIFc21kA76tyJs,"Thalai Viduthalai (From ""Vivegam"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'name': 'Anirudh Ravichander', 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3DFIYtEdg2hh7dz3g7idaX'}, 'href': 'https://api.spotify.com/v1/artists/3DFIYtEdg2hh7dz3g7idaX', 'id': '3DFIYtEdg2hh7dz3g7idaX', 'name': 'Harish Swaminathan', 'type': 'artist', 'uri': 'spotify:artist:3DFIYtEdg2hh7dz3g7idaX'}]",3.257233333333333,False,37,2022-11-25 13:18:08,1EWl7oLpKgRbOIdMWfO4uP,"Thalai Viduthalai (From ""Vivegam"")",2017,album,Anirudh Ravichander,Harish Swaminathan,4zCH9qm4R2DADamUHMCa6O,3DFIYtEdg2hh7dz3g7idaX,0.371,0.934,10,-4.202,0,0.115,0.00145,9.2e-06,0.342,0.598,85,16339229,desi hip hop,"filmi, tamil hip hop"
38,32E2AGkk15IU9JMZUGs7Ih,Hey Mama,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'name': 'Anirudh Ravichander', 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}]",4.489966666666667,False,46,2022-11-25 13:09:59,25QVMppRE7ouRK0YAl9i0U,Sethupathi (Original Motion Picture Soundtrack),2016,album,Anirudh Ravichander,,4zCH9qm4R2DADamUHMCa6O,,0.782,0.926,4,-5.887,0,0.088,0.109,1e-06,0.0786,0.522,85,16339229,desi hip hop,"filmi, tamil hip hop"
44,2HExCD0mVOvPQ47dkM4tUH,"Surviva (From ""Vivegam"") (feat. Yogi B & Mali)","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'name': 'Anirudh Ravichander', 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/614RN5ndeqpLlqg1yDbjtm'}, 'href': 'https://api.spotify.com/v1/artists/614RN5ndeqpLlqg1yDbjtm', 'id': '614RN5ndeqpLlqg1yDbjtm', 'name': 'Yogi B', 'type': 'artist', 'uri': 'spotify:artist:614RN5ndeqpLlqg1yDbjtm'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6l1lQ5WaTFT05RImOssYKg'}, 'href': 'https://api.spotify.com/v1/artists/6l1lQ5WaTFT05RImOssYKg', 'id': '6l1lQ5WaTFT05RImOssYKg', 'name': 'MALIII', 'type': 'artist', 'uri': 'spotify:artist:6l1lQ5WaTFT05RImOssYKg'}]",3.7004333333333332,False,42,2022-11-25 12:42:41,2BBZJtkqoBJl7YlhgOfkcO,The Tamil EDM Mixtape,2018,album,Anirudh Ravichander,"Yogi B, MALIII",4zCH9qm4R2DADamUHMCa6O,"614RN5ndeqpLlqg1yDbjtm, 6l1lQ5WaTFT05RImOssYKg",0.608,0.919,9,-7.203,0,0.076,0.137,0.000274,0.243,0.728,85,16339229,desi hip hop,"filmi, tamil hip hop"
2,7H7ktpLPBvpJ0A2pwUy4hB,"Chilla Chilla (From ""Thunivu"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3jw2v5ZbSWBinNaECXq8cJ'}, 'href': 'https://api.spotify.com/v1/artists/3jw2v5ZbSWBinNaECXq8cJ', 'id': '3jw2v5ZbSWBinNaECXq8cJ', 'name': 'Ghibran', 'type': 'artist', 'uri': 'spotify:artist:3jw2v5ZbSWBinNaECXq8cJ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'name': 'Anirudh Ravichander', 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/61ARIGyeQjBmULCy2ckSTp'}, 'href': 'https://api.spotify.com/v1/artists/61ARIGyeQjBmULCy2ckSTp', 'id': '61ARIGyeQjBmULCy2ckSTp', 'name': 'vaisagh', 'type': 'artist', 'uri': 'spotify:artist:61ARIGyeQjBmULCy2ckSTp'}]",3.7037,False,73,2023-02-11 14:53:34,5hZOtTKT6VNJRgTDE28Hje,"Chilla Chilla (From ""Thunivu"")",2022,album,Ghibran,"Anirudh Ravichander, vaisagh",3jw2v5ZbSWBinNaECXq8cJ,"4zCH9qm4R2DADamUHMCa6O, 61ARIGyeQjBmULCy2ckSTp",0.609,0.865,7,-6.335,1,0.277,0.00538,0.0,0.309,0.514,69,478599,filmi,tamil pop
3,6TK7jseRCrogw9IzQYkw2h,"Thee Thalapathy (From ""Varisu"")","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5Hn84AFwiTEi8eMoI5B9AS'}, 'href': 'https://api.spotify.com/v1/artists/5Hn84AFwiTEi8eMoI5B9AS', 'id': '5Hn84AFwiTEi8eMoI5B9AS', 'name': 'Silambarasan TR', 'type': 'artist', 'uri': 'spotify:artist:5Hn84AFwiTEi8eMoI5B9AS'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2FgHPfRprDaylrSRVf1UlN'}, 'href': 'https://api.spotify.com/v1/artists/2FgHPfRprDaylrSRVf1UlN', 'id': '2FgHPfRprDaylrSRVf1UlN', 'name': 'Thaman S', 'type': 'artist', 'uri': 'spotify:artist:2FgHPfRprDaylrSRVf1UlN'}]",4.3,False,75,2023-02-11 14:49:51,3ZcY45jXNx9jTGjpNv3GbL,"Thee Thalapathy (From ""Varisu"")",2022,album,Silambarasan TR,Thaman S,5Hn84AFwiTEi8eMoI5B9AS,2FgHPfRprDaylrSRVf1UlN,0.674,0.907,10,-5.078,0,0.122,0.567,0.0,0.259,0.828,69,164526,desi hip hop,"filmi, tamil pop"
4,6KDa64fYnyVS0kbVeRHNUF,Lord Knows (feat. Tory Lanez),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/20sxb77xiYeusSH8cVdatc'}, 'href': 'https://api.spotify.com/v1/artists/20sxb77xiYeusSH8cVdatc', 'id': '20sxb77xiYeusSH8cVdatc', 'name': 'Meek Mill', 'type': 'artist', 'uri': 'spotify:artist:20sxb77xiYeusSH8cVdatc'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0AKaEDAMLlRoFwSWmzXsex'}, 'href': 'https://api.spotify.com/v1/artists/0AKaEDAMLlRoFwSWmzXsex', 'id': '0AKaEDAMLlRoFwSWmzXsex', 'name': 'Tony Lanez', 'type': 'artist', 'uri': 'spotify:artist:0AKaEDAMLlRoFwSWmzXsex'}]",5.345766666666667,True,46,2023-02-11 14:22:27,6Vl1FiigNmVpKDMXpRVUCA,CREED: Original Motion Picture Soundtrack,2015,album,Meek Mill,Tony Lanez,20sxb77xiYeusSH8cVdatc,0AKaEDAMLlRoFwSWmzXsex,0.515,0.696,10,-7.45,0,0.38,0.0154,0.0,0.654,0.172,77,6920335,hip hop,"philly rap, pop rap, rap, southern hip hop, trap"
5,1iP5UMdOsGz6EdltGbbcb7,The Fire,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/78xUyw6FkVZrRAtziFdtdu'}, 'href': 'https://api.spotify.com/v1/artists/78xUyw6FkVZrRAtziFdtdu', 'id': '78xUyw6FkVZrRAtziFdtdu', 'name': 'The Roots', 'type': 'artist', 'uri': 'spotify:artist:78xUyw6FkVZrRAtziFdtdu'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5y2Xq6xcjJb2jVM54GHK3t'}, 'href': 'https://api.spotify.com/v1/artists/5y2Xq6xcjJb2jVM54GHK3t', 'id': '5y2Xq6xcjJb2jVM54GHK3t', 'name': 'John Legend', 'type': 'artist', 'uri': 'spotify:artist:5y2Xq6xcjJb2jVM54GHK3t'}]",3.6844333333333332,False,52,2023-02-11 14:06:54,25sYZjutddzUpXNbeQ7bEC,How I Got Over,2010,album,The Roots,John Legend,78xUyw6FkVZrRAtziFdtdu,5y2Xq6xcjJb2jVM54GHK3t,0.67,0.956,1,-4.381,1,0.16,0.177,3.65e-05,0.726,0.337,62,1259738,alternative hip hop,"conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, philly rap, political hip hop, southern hip hop"
6,0fX4oNGBWO3dSGUZcVdVV2,N95,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg'}, 'href': 'https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg', 'id': '2YZyLoL8N0Wb9xBt1NhZWg', 'name': 'Kendrick Lamar', 'type': 'artist', 'uri': 'spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg'}]",3.265833333333333,True,78,2023-02-11 13:57:50,79ONNoS4M9tfIA1mYLBYVX,Mr. Morale & The Big Steppers,2022,album,Kendrick Lamar,,2YZyLoL8N0Wb9xBt1NhZWg,,0.79,0.67,1,-5.527,1,0.105,0.377,2.32e-06,0.119,0.408,91,22896729,conscious hip hop,"hip hop, rap, west coast rap"
7,0WSEq9Ko4kFPt8yo3ICd6T,Praise God,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}]",3.7775333333333334,False,73,2023-02-11 13:54:34,5CnpZV3q5BcESefcB3WJmz,Donda,2021,album,Kanye West,,5K4W6rqBFWDnAN6FQUkS6x,,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48e-05,0.258,0.212,92,19300478,chicago rap,rap
13,4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}]",2.2653333333333334,True,78,2022-12-01 05:45:24,7gsWAHLeT0w7es6FofOXk1,The Life Of Pablo,2016,album,Kanye West,,5K4W6rqBFWDnAN6FQUkS6x,,0.724,0.573,7,-4.113,1,0.0549,0.118,0.0,0.538,0.438,92,19300478,chicago rap,rap
19,7rbECVPkY5UODxoOUVKZnA,I Wonder,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}]",4.057333333333333,True,77,2022-12-01 05:23:41,4SZko61aMnmgvNhfhgTuD3,Graduation,2007,album,Kanye West,,5K4W6rqBFWDnAN6FQUkS6x,,0.542,0.466,0,-8.665,1,0.0831,0.141,0.000445,0.125,0.124,92,19300478,chicago rap,rap
